RecordedDate,Q1,Q2,Eligibility 1,Eligibility 2,Duration (in seconds),Finished,StartDate,EndDate,Progress
Recorded Date,"We now would like to ask you to provide the data-processing steps you would take (if any) before and/or in between the analysis steps to answer the research question. Please be as specific as possible and describe precisely how to perform a certain data-processing step. It should be possible for us to implement these steps based on your description, so please include information regarding measurement units, order of different steps (if you provide multiple steps), etcetera. If you think no data-processing is required, please mention that explicitly (do not leave the box blank). Note that you do not need to mention data formatting steps (e.g., converting the dataframe from wide to long) and other actions that have no impact on the data as such. Also, you can assume that there were no experiment errors (e.g., stimuli not being displayed correctly).","If you deem the proposed data-analysis suboptimal or inappropriate, please explain how it should be modified in your opinion. If you deem it appropriate, you can just answer ""No modification"".",Do you have experience analyzing response latency/reaction time data?,Do you have experience with semantic priming research?,Duration (in seconds),Finished,Start Date,End Date,Progress
"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""progress""}"
2023-06-09 02:16:18,,,,,5,True,2023-06-09 02:16:10,2023-06-09 02:16:16,100
2023-06-09 02:44:31,"RRR
FFVF",,,,223,True,2023-06-09 02:40:46,2023-06-09 02:44:29,100
2023-06-09 03:55:47,,,,,427,True,2023-06-09 03:48:38,2023-06-09 03:55:46,100
2023-06-09 04:02:34,"frfegegg
p",,,,34,True,2023-06-09 04:01:58,2023-06-09 04:02:32,100
2023-06-13 23:53:11,,,No,Yes,35,True,2023-06-13 23:52:35,2023-06-13 23:53:10,100
2023-06-13 23:55:09,,,,,3,True,2023-06-13 23:55:04,2023-06-13 23:55:08,100
2023-06-14 07:42:08,,,,,7,True,2023-06-14 07:41:59,2023-06-14 07:42:06,100
2023-06-14 07:44:18,,,No,No,12,True,2023-06-14 07:44:04,2023-06-14 07:44:16,100
2023-06-14 07:45:31,,,No,Yes,56,True,2023-06-14 07:44:32,2023-06-14 07:45:29,100
2023-07-10 15:57:42,i am doing the thing! test the thing!,here's the thing!,Yes,Yes,46,True,2023-07-10 15:56:54,2023-07-10 15:57:40,100
2023-07-10 15:59:38,test test test,test,Yes,No,435,True,2023-07-10 15:52:22,2023-07-10 15:59:38,100
2023-07-10 16:02:43,,,No,No,12,True,2023-07-10 16:02:29,2023-07-10 16:02:42,100
2023-07-10 16:39:29,,,Yes,Yes,303,True,2023-07-10 16:34:24,2023-07-10 16:39:28,100
2023-07-10 16:41:45,"1. Test whether data is positively skewed (as reaction time data often are). 
2. If data is positively skewed, transform data (e.g., log transformation)
3. Only after this, I would z-transform the data and continue",No modification,Yes,No,537,True,2023-07-10 16:32:47,2023-07-10 16:41:44,100
2023-07-10 17:11:26,"Reaction times are frequently log-transformed to address skewness when running tests that rely on the assumption of normality. Person's r for example can give misleading results when the variables are highly skewed (such as with reaction times). In R, it is possible to use the R package {bestNormalize} (https://cran.r-project.org/package=bestNormalize) to automatically test all available transformation method and pick the best one, using the `bestNormalize::bestNormalize()` and `bestNormalize::predict()` functions. Care should be taken whether to consider the ordered quantile normalization (ORQ) or not in the available transformations. This transformation step would normally apply at the very end of the process. Extreme outlier observations (with unrealistic reaction times < 200 ms or greater than 1000 ms) should also be excluded because they may reflect unrealistic reaction times, or inattention, and may lead to misleading results.",It seems appropriate,Yes,Yes,2831,True,2023-07-10 16:24:14,2023-07-10 17:11:25,100
2023-07-10 17:52:21,"Step 1: Clean the data by removing response times outside the 100 ms - 3000 ms range.
Step 2: Filter out incorrect trials and extreme response times (under 200 ms or over 2000 ms).
Step 3: Organize the data by grouping it by participant, condition, and target word, then calculate the mean response time for each group.
Step 4: Normalize the data by conducting a z-transformation on each participant's reaction times.
Step 5: Compute the priming effects by subtracting the mean response time of unrelated trials from the related trials for each participant and target word.
","No modification. ",No,Yes,1393,True,2023-07-10 17:29:07,2023-07-10 17:52:20,100
2023-07-10 18:39:45,,,Yes,Yes,5413,True,2023-07-10 17:09:31,2023-07-10 18:39:45,100
2023-07-10 18:48:47,,,No,No,70,True,2023-07-10 18:47:37,2023-07-10 18:48:47,100
2023-07-10 23:51:53,,,Yes,No,405,True,2023-07-10 23:45:07,2023-07-10 23:51:53,100
2023-07-11 00:52:39,,,No,No,33,True,2023-07-11 00:52:05,2023-07-11 00:52:38,100
2023-07-11 01:14:19,"As I do not have to inspect data for any error na missing data, I would inspect the data for outliers; namely, as we want to process retrieval latencies I would exclude RTs above/below 2.5SD to make sure that I have as homogenous and coherent data as possible. To this end, I would do it separately for each variable; namely RTcar-dog and RTcat-dog.","The priming is measured as follows: zRTcar-dog - zRTcat-dog, but I would still divide it by zRTcat-dog which would take into account the individual differences (similar to interference effect measured by Stroop-like tests).",Yes,Yes,1101,True,2023-07-11 00:55:57,2023-07-11 01:14:18,100
2023-07-11 01:25:30,"1) Fatigue
I would first check if the number of trials did not introduce additional variability due to the participants' fatigue. The length of the words may vary across languages, so the question is whether the first block is similar to the last block across the languages. Thus, to compare reaction times and fatigue, I would run a multilevel model with differences between reaction times prime-target and unrelated prime-target regressed on the block (first vs. last) and the type prime-target and unrelated prime-target) as a factor.

If the fatigue effect varies across countries, I would focus on the middle blocks in the subsequent analyses to answer the main hypothesis.

2) The mean character length
Furthermore, I would follow up the analyses by checking whether the mean character length of the stimuli across languages varies. The main effect could be detected, but the stimuli length would interfere and mask it. So, for instance, reaction times to English and Italian prime-word would be the same (i.e., the main effect detected), but the English-German pair not, as maybe German prime words would be longer than unrelated-prime words.","In general, I deem it appropriate. I would, though, add several additional checks, as described in the previous question.",Yes,No,1125,True,2023-07-11 01:06:44,2023-07-11 01:25:30,100
2023-07-11 01:29:41,"The fewer preprocessing steps the better. I would only exclude responses that are more than 3 SDs above or below the participant's mean. Otherwise, I would not perform any preprocessing steps.",No modification,Yes,Yes,843,True,2023-07-11 01:15:36,2023-07-11 01:29:40,100
2023-07-11 01:33:49,"1. Test if the result is influenced by outliers: Remove data points with an RT below 200 msec or above the upper quartile plus three times the IQR. Then re-run the analysis.
2. Since RT data are skewed, the means (e.g., the within-participant mean used for the initial z-scoring) will not reflect the bulk of responses. To test whether this affects the results, perform a log-transformation before doing the rest of the analysis.","To me, this feels like the job for a linear mixed model (LMM). Using LMMs carries the advantage of accounting for uncertainty in the item-level estimates (which is ignored in the correlation analysis). Moreover, it would also allow you to use a likelihood function that accounts for the skew of the reaction time data (e.g., a shifted lognormal, if using brms).

The formula may look something like: RT ~ primed * language + (primed*language|item) + (primed*language|subject). This model would allow you to inspect the by-item variation in the interaction between language and semantic priming. You could also include more languages than just two. I am not sure exactly how this would look, but I suspect you need another level in the model and to inspect the VPC of by-item slopes of priming at the language-level.",Yes,No,6828,True,2023-07-10 23:40:00,2023-07-11 01:33:48,100
2023-07-11 01:59:09,"Data pre-processing:
1) Exclude participants that do not match recruitment criteria (e.g., participant who saw German set but indicates that they have a different native language)
2) Exclude participants that do not match previously set accuracy criterion 
3) Exclude error and post-error trials ",No modification,Yes,No,536,True,2023-07-11 01:50:11,2023-07-11 01:59:08,100
2023-07-11 02:12:02,"Given the raw data in ms I would use a cut-off of at least 100ms, i.e., response times less than 100ms are not included in the calculation of the arithmetic mean of the RT (both for car-dog and cat-dog)
The threshold might be set to 150ms if less than 2% of overall response times are below 150 ms (in the literature it varies between 100 and 200ms)
I would check the distribution of the RTs per participant, is it bimodal or multimodal? If so, I would consider removing the participant as something weird is going on (can be timing / hardware issues or dyslexia for some words/letters)
(there is a check for multimodality, se Fisher et al. 1994 Testing for multimodality and in R one could use the mclust package and or the silvermantest package) 

to sum up: 
1. remove too fast (implausible) RTs
what is too fast depends on the software/hardware and SOA used but responding before the word has been shown on the screen has to be excluded, as well as there is a motor response latency
2. check for multimodality and exclude participants with multimodal RT distributions (separate for car-dog and cat-dog)
","You state you would use correlation, I would use Kendall's tau and Pearson (comparing English and German etc), not just Pearson. Pearson is on the size, but Kendall is on rank order. For the main hypothesis rank order is the minimum requirement, hence I would add Kendall's tau",Yes,Yes,1518,True,2023-07-11 01:46:43,2023-07-11 02:12:02,100
2023-07-11 03:46:13,"Before data analysis:
I would first filter so that only correctly identified words were included in the analysis.

Then I would remove any trials wherein participants responded under 50ms or after 2000ms.",No modification,Yes,Yes,620,True,2023-07-11 03:35:52,2023-07-11 03:46:12,100
2023-07-11 04:02:50,"I would remove from the dataset responses that took less than a given time interval (typically 200 ms) and responses that took more than another given time interval (typically 1600 ms) in order to ensure that the response was not too quick and therefore random, nor too late, again indicating a random response.

I would not replace missing data.

I would not remove outliers, as there has already been a selected timeframe (200-1600 ms)
",No modification,Yes,No,9873,True,2023-07-11 01:18:16,2023-07-11 04:02:50,100
2023-07-11 04:05:30,"In my studies I have always found that logRT yield less noisy and more reliable (psychometrically) effects than natural RTs. I would also remove RTs from trials with incorrect response and then, for each participant, calculate the mean and SD of RTs (across al conditions; otherwise, filtering can increase the false positive rate) and then remove any trial with an RT 3 or more SDs above or below the mean.",No modification.,Yes,No,337,True,2023-07-11 03:59:51,2023-07-11 04:05:28,100
